ID,Cluster,MetaModel,Purpose,KeyObjects,Reuse,Formalize,Priority
V1,Value Substrate,Value Transformer,Universal node: any entity consumes/transforms/creates value or anti-value,"transformer; consume; transform; create",AISMM value-stream actor; orkestron Aeilus,now,critical
V2,Value Substrate,Multidimensional Value (Ae-vector),Value as a vector across economic/educational/scientific/demographic/cognitive/infrastructural/social/ecological/cultural,"value_vector; dimension; target_balance",aeilus.tech VMT; orkestron Ae/$,now,critical
V3,Value Substrate,Value Flow,Edges of the graph: value transfer with Ae-delta cost time provenance,"flow; source; sink; ae_delta; cost",orkestron value streams; settlement,now,critical
V4,Value Substrate,Anti-Value,Systemic harms as first-class objects (displacement/dependency/concentration/instability),"anti_value; externality; harm",new (VMT seed),now,critical
A1,Polity,State / Constitution,Supreme rule-set: rights value-balancing mandate sovereignty,"state; constitution; right; mandate",Meta-Universe MUC,now,high
A2,Polity,Branch of Power,Legislative/executive/judicial; separation and checks-and-balances,"branch; mandate; check",new; W3C ORG,P1,high
A3,Polity,Ministry / State Sub-Agent,Civilizational agents owning a value dimension,"ministry; sub_agent; mandate; kpi",orkestro.net Position+PositionMemory; CPSV-AP,now,high
A4,Polity,Territorial Division,Nation>region>city>district; regional value accounts,"region; city; jurisdiction",ISO 3166-2; schema:AdministrativeArea; GeoSPARQL,now,high
A5,Polity,Law / Legislation,Laws regulations mandatory-contribution rules incentives,"law; regulation; policy; incentive",Akoma Ntoso; LegalRuleML; ODRL,P1,medium
A6,Polity,Judiciary / Dispute,Courts cases rulings appeals dispute-resolution,"court; case; ruling; appeal",orkestro.net Review/escalation; ECLI,P1,medium
A7,Polity,Public Program / Incentive,Programs subsidies mandates strategic-demand instruments,"program; subsidy; mandate",orkestron ControlPolicy + take-rate,P1,medium
A8,Polity,Public Treasury / Budget,Budget allocation public accounts; $ ledger,"budget_line; allocation; account",ISO 20022; orkestron settlement,P2,low
B1,Society,Citizen,Identity demographics capabilities life-cycle wellbeing,"citizen; demographics; lifecycle",orkestro.net Persona; schema:Person; W3C DID,now,high
B2,Society,Civic Role,Roles as Positions with duties KPI value-contribution profile,"role; position; duty",orkestro.net Position/Assignment,now,high
B3,Society,Household / Family,Family household dependents reproduction (demographic value),"family; household; dependent",schema:Person/Family; GEDCOM-X,P1,medium
B4,Society,Civic Reputation,Contribution reputation social standing autonomy level,"reputation; standing; autonomy",orkestro.net TrackRecord/Agent Rank (APM),now,high
B5,Society,Needs & Wellbeing,Needs hierarchy incl meaning/belonging; loss-of-meaning risk,"need; satisfaction; meaning_risk",new (article human-purpose axis),P1,medium
B6,Society,Education & Human Development,Learning paths skills mentorship; educational value,"learning_path; skill; mentorship",ESCO; O*NET; 1EdTech,P1,medium
C1,Economy,Business / Organization,Companies AI-infra owners production systemic-effect profile,"company; production; systemic_effect",orkestron-ai org; W3C ORG; LEI; NACE,P1,medium
C2,Economy,Market / Exchange,Marketplace value/compute exchange clearing price,"market; exchange; clearing; price",orkestron.ai marketplace + compute exchange,P2,medium
C3,Economy,Contribution / Work,Missions contracts work-items contribution units,"mission; contract; work_item; contribution",orkestron.dev Contract + orkestro.net Mission,now,high
C4,Economy,Infrastructure,Energy logistics compute transport housing; infrastructural value,"infrastructure; capacity; resilience",new; schema:Infrastructure; CIM,P2,low
D1,Civilization,Civilizational Mission,Large-scale state missions (demography/science/space/ecology),"mission; objective; cohort",orkestro.net Mission scaled,P1,high
D2,Civilization,Science & Knowledge,Research institutions projects discoveries; scientific value,"institution; project; discovery",schema:ScholarlyArticle; CERIF,P2,low
D3,Civilization,Culture & Meaning,Culture identity narrative motivation; meaning dimension,"culture; identity; narrative",new (article core warning),P2,medium
D4,Civilization,Ecology & Sustainability,Ecosystems resources emissions; ecological value/anti-value,"ecosystem; resource; emission",ESRS/GRI; ISO 14001; SWEET,P2,low
E1,Runtime,Agent-Citizen Runtime,Mapping Citizen/Role to Orkestro Persona+Position; cognitive tier,"runtime_agent; tier; activation",orkestro.net Agent Hub,now,critical
E2,Runtime,Simulation Time & Events,Sim-clock ticks events schedule; Semantic Timeline,"clock; tick; event; schedule",Meta-Universe Event; OWL-Time,now,critical
E3,Runtime,Observation & Metrics,Value dashboards imbalance signals KPI anti-value alerts,"dashboard; signal; kpi; alert",AISMM health; orkestron Langfuse,now,high
E4,Runtime,Control Policy / Governance Dial,Dynamic governance: checkpoints autonomy ramps overrides,"control_policy; checkpoint; override",orkestron.net ControlPolicy,now,high
