ID,Cluster,MetaModel,Purpose,KeyObjects,OwnerArchetype,Bind,Status
P1,Planet & Nature,Terrain & Landform,Physical relief and landforms of the territory,"landform; elevation; slope; region_geometry",commons steward (Territory),GeoSPARQL; INSPIRE; DEM,candidate
P2,Planet & Nature,Land Parcel & Cadastre,Land units as registrable spatial objects,"parcel; boundary; survey; land_use_class",registrar (Land) over register; rights via S1,ISO 19152 LADM,candidate
P3,Planet & Nature,Water Body & Hydrology,"Rivers, lakes, seas, aquifers and their regimes","water_body; watershed; flow_regime; water_quality",commons steward (Ecology),HY_Features; INSPIRE,candidate
P4,Planet & Nature,Atmosphere Weather & Climate,Weather observations and climate state,"observation; forecast; climate_normal; station",commons steward (Ecology),WMO; CF conventions,candidate
P5,Planet & Nature,Subsurface & Mineral Resource,Geology and deposits of natural resources,"formation; deposit; reserve_estimate; extraction_right_ref",commons steward; extraction rights via S1,GeoSciML; UNFC,candidate
P6,Planet & Nature,Flora & Vegetation,Plant life and vegetation cover,"taxon; population; vegetation_cover; protected_status",commons steward (Ecology),Darwin Core,candidate
P7,Planet & Nature,Fauna & Wildlife,Animal life and populations,"taxon; population; habitat; protected_status",commons steward (Ecology),Darwin Core,candidate
P8,Planet & Nature,Ecosystem & Biome,Ecosystems as physical systems (D4 keeps the value view),"ecosystem; biome; service_capacity; condition",commons steward (Ecology),ENVO; SWEET,candidate
P9,Planet & Nature,Natural Phenomenon & Hazard,"Earthquakes, floods, droughts and hazard exposure","hazard; exposure_zone; occurrence; severity",Emergency sub-agent,CAP; EM-DAT,candidate
P10,Planet & Nature,Soil & Agricultural Land,Soil quality and agricultural capability,"soil_unit; fertility; capability_class; degradation",commons steward (Ecology/Agro),FAO soil classification,candidate
M1,Matter & Artifacts,Material & Substance,Materials and chemical substances,"material; substance; hazard_class; composition",Economy sub-agent (class); holder (instance),CAS; ChEBI,candidate
M2,Matter & Artifacts,Physical Item / Artifact,Any individual physical thing,"item; serial_identity; condition; location_ref",item owner per S1,schema:Product; asset mgmt,candidate
M3,Matter & Artifacts,Tradable Good,Items in their market aspect,"good; classification; unit; batch",seller/holder per S1,GS1 GPC; GTIN,candidate
M4,Matter & Artifacts,Food & Drink,Nutrition goods and their safety,"food_item; ingredient; nutrition; safety_status",producer/holder,FoodOn; INFOODS,candidate
M5,Matter & Artifacts,Medicine & Health Substance,Medicinal products and controlled substances,"medicine; active_substance; authorization; batch",producer; Health sub-agent oversight,ATC; RxNorm,candidate
M6,Matter & Artifacts,Equipment & Machinery,Industrial and household machinery,"machine; capability; maintenance_state; certification",owner per S1,eCl@ss,candidate
M7,Matter & Artifacts,Vehicle & Transport Means,"Vehicles across modes (road, rail, water, air)","vehicle; registration; capacity; roadworthiness",owner per S1; registrar (Vehicles),ISO 3779 VIN; registries,candidate
M8,Matter & Artifacts,Device Sensor & Computing Hardware,Connected devices and computing equipment,"device; sensor; firmware_ref; telemetry_stream_ref",owner per S1,W3C SSN/SOSA,candidate
M9,Matter & Artifacts,Cultural Artifact & Heritage,Artifacts of cultural and historical value,"artifact; provenance; heritage_status; custody",custodian; Culture sub-agent oversight,CIDOC-CRM,candidate
U1,Built Environment,Building & Structure,Buildings and engineered structures,"building; structure; construction_year; condition",owner per S1,IFC; CityGML,candidate
U2,Built Environment,Premises & Spatial Unit,"Units within structures (apartments, offices, rooms)","premise; unit_boundary; use_class; occupancy",owner per S1,LADM; BOMA,candidate
U3,Built Environment,Physical Infrastructure Network,"Roads, rail, pipes, grids as physical networks","network; segment; node; capacity; condition",operator organization,INSPIRE; IEC CIM,candidate
U4,Built Environment,Settlement & Urban Form,"Cities, districts and urban morphology","settlement; district; block; density",Urban sub-agent,CityGML,candidate
U5,Built Environment,Utility Service Point,"Connections for water, heat, power, sewage","service_point; connection; meter; tariff_ref",utility operator,IEC CIM,candidate
U6,Built Environment,Construction & Works,Construction projects and works in progress,"work; permit; stage; acceptance",developer organization; permits via A,IFC processes,candidate
K1,Activity & Work,Function & Capability,What an agent is able to do,"function; capability; proficiency; capacity",the capable agent,ESCO (skills); V1,candidate
K2,Activity & Work,Act / Action,"Atomic actions: who did what, to what, when, where","act; actor_ref; object_ref; time; place; outcome",the acting agent,PROV; MU Event,candidate
K3,Activity & Work,Process & Workflow,Repeatable multi-step activities,"process; step; role; state",process owner (org or agent),BPMN,candidate
K4,Activity & Work,Service,Defined offerings and their delivery,"service; offer; delivery; quality_level",service provider,CPSV; schema:Service,candidate
K5,Activity & Work,Project,Bounded undertakings with goals and resources,"project; goal; milestone; resource_allocation",sponsoring organization,PROV; PM practice,candidate
K6,Activity & Work,Practice Method & Procedure,Codified ways of doing things,"method; procedure; standard_ref; competence_req",authoring organization,ISO management systems,candidate
K7,Activity & Work,Plan & Schedule,Intentions bound to time,"plan; schedule; commitment; dependency",the planning agent,iCalendar; PROV,candidate
N1,Knowledge & Information,Document & Record,Documents as governed records,"document; version; signature; retention",author/issuing organization,Dublin Core,candidate
N2,Knowledge & Information,Report & Statement,"Structured reporting (financial, statistical, compliance)","report; period; figure; assertion",reporting organization,XBRL; SDMX,candidate
N3,Knowledge & Information,Dataset & Data Register,Datasets as catalogued assets,"dataset; distribution; schema_ref; quality",data holder,DCAT,candidate
N4,Knowledge & Information,Software Product & System,Software described in full context,"product; system; release; dependency",producing organization,AISMM (bind whole model),candidate
N5,Knowledge & Information,Media & Creative Work,"Works of media, art and entertainment","work; expression; rights; distribution",author/rights holder,schema:CreativeWork,candidate
N6,Knowledge & Information,Model & Ontology,Models and ontologies as first-class objects,"model; version; fingerprint; conformance",model steward,Meta-Universe (MMAS),candidate
N7,Knowledge & Information,Message & Communication,Communications between agents,"message; channel; thread; delivery_status",sender (owner of the message record),email/messaging standards,candidate
N8,Knowledge & Information,Identifier & Naming System,Identifier schemes and namespaces,"scheme; identifier; assignment; resolution",scheme registrar,ISO identifier suites,candidate
O1,Organizations,Organization,"Any organization: company, NGO, community, institution","organization; legal_form; registration; purpose",the organization (via officers),W3C ORG; LEI; NACE,candidate
O2,Organizations,Organizational Unit,Internal structure of organizations,"unit; reporting_line; mandate; headcount",parent organization,W3C ORG,candidate
O3,Organizations,Employment & Membership,Relations between persons and organizations,"employment; membership; role_ref; term",both parties (bilateral record),ESCO; HR standards,candidate
O4,Organizations,Organizational Mandate & Charter,Constitutive rules of an organization,"charter; mandate; power; accountability",the organization; A oversight for public bodies,legal templates,candidate
O5,Organizations,Commercial Contract & Agreement,Agreements between parties,"contract; party; obligation; performance_status",the parties (bilateral); courts via A6,UNCITRAL; legal XML,candidate
R1,Registries & Ledgers,Registry (pattern),"The generic register: entries, evidence, registrar, legal effect","register; entry; evidence; effect",registrar per A12 mandate,MU registry doctrine,candidate
R2,Registries & Ledgers,Ledger & Account,Append-only accounts of quantity movements,"ledger; account; posting; balance",ledger operator (Æ: state; $: settlement rail),ISO 20022,candidate
R3,Registries & Ledgers,Event Register,Semantic-Timeline event stores per domain,"event_log; event_ref; sequence; integrity_proof",domain registrar,MU Event; Merkle logs,candidate
R4,Registries & Ledgers,Identity Register,"Anchoring identity of persons, orgs, things","identity; identifier_binding; status; key",registrar (Identity); subject rights via S,W3C DID,candidate
R5,Registries & Ledgers,Attestation Certificate & License,Issued claims with validity,"attestation; issuer; subject; validity; revocation",issuer; subject holds copy,W3C Verifiable Credentials,candidate
R6,Registries & Ledgers,Registry Federation & Mirroring,Reference-not-copy rules between registers,"federation_link; mirror; freshness; authority",registrars jointly,MU ARCH-018; MUFP,candidate
F1,Flows & Resources,Energy,"Energy carriers, generation, consumption, balance","carrier; generation; consumption; grid_balance",grid/asset operators; Energy sub-agent,IEC CIM,candidate
F2,Flows & Resources,Money & Monetary Instrument,Money as instrument ($ side of the two-layer system),"currency; instrument; holding; payment",holder; settlement rail operator,ISO 4217; ISO 20022,candidate
F3,Flows & Resources,Goods Movement & Logistics,Physical movement of goods,"shipment; route; custody_chain; event",shipper/carrier (per leg),UN/CEFACT; EPCIS,candidate
F4,Flows & Resources,Water & Food Supply,Supply chains of water and food,"supply_chain; source; treatment; distribution",operators; Agro/Health oversight,FAO; EPCIS,candidate
F5,Flows & Resources,Waste & Circular Flows,"Waste streams, recycling, circular loops","waste_stream; treatment; recovery; disposal",generator and processor,EU waste codes,candidate
F6,Flows & Resources,Emission & Environmental Flux,Emissions and environmental releases,"emission; source_ref; quantity; abatement",emitting owner; Ecology verification,GHG Protocol,candidate
X1,Events & Phenomena,Occurrence / Event,"Generic events: what happened, when, where, who","occurrence; participant; time; place; cause_ref",primary actor or observing registrar,MU Event; OWL-Time,candidate
X2,Events & Phenomena,Observed Phenomenon,Recurring natural or social patterns,"phenomenon; observation_series; extent; trend",observing steward,SSN; statistics,candidate
X3,Events & Phenomena,Incident & Emergency,Harm events requiring response,"incident; severity; response; resolution",Emergency sub-agent,CAP,candidate
X4,Events & Phenomena,Situation & Condition,States of affairs holding over time,"situation; subject_ref; interval; status",subject's owner,OWL-Time,candidate
X5,Events & Phenomena,Encounter & Interaction,"Meetings, transactions, encounters between agents","interaction; parties; channel; outcome",parties (bilateral record),PROV,candidate
S1,Security Ownership & Access,Meta-Object Ownership & Stewardship,"Who controls every meta-object; transfers, delegation, guardianship","ownership; steward; delegation; transfer_event",the polity's root registry (constitutional),LADM (rights); MU,candidate
S2,Security Ownership & Access,Access Contract & Consent,Machine-readable permission to read,"access_contract; grantor; grantee; scope; revocation",the data owner (grantor),MU Contract; ODRL,candidate
S3,Security Ownership & Access,Disclosure Scope & Projection Policy,"The shape data leaves in: subset, summary, aggregate","projection_policy; field_scope; aggregation_level",the data owner,MU Projection; Consent-and-Disclosure,candidate
S4,Security Ownership & Access,Access Audit,Append-only log of every read and grant,"access_event; reader; contract_ref; time",audit registrar; visible to the owner,Merkle logs; MU Event,candidate
S5,Security Ownership & Access,Privacy Aggregation & Cohort Floor,State sensing at cohort grain with k-anonymity,"cohort; aggregate; k_floor; suppression_rule",Statistics steward under Charter limits,differential privacy practice,candidate
